group,tissue_uptake,tissue_ATP,tissue_ROS,neuromotor_score,weight_change_pct,survival_days,event
Healthy,0.0755535646731236,28.2384320304328,1.1448108190098796,100.0,4.783996260020862,94.49078858779669,1
Healthy,0.19154131104938407,37.184677643522456,1.263716280523289,90.0310778602291,5.60815540094972,117.32691206791048,0
Healthy,0.07815732324078284,27.46752120326091,1.082287136313306,66.7215389786648,-4.150052484714768,110.7213245294626,0
Healthy,0.16326441416099413,30.037491470082248,0.6521305154349843,98.33297296647324,-0.4950796322639919,146.69818087654633,0
Healthy,0.045581754405951525,25.10466420647357,1.1946994514268705,98.21536514690501,5.486015962093284,125.46097446944356,0
Healthy,0.20157832115057528,25.92711792225672,0.8522482510104273,72.31762663629449,-3.9967246747521474,117.6008247274981,0
Healthy,0.09891398161208347,29.55431794661842,0.6549418826082333,93.46516591339217,1.7010896337552104,141.70648744719395,0
Healthy,0.22913470060211585,32.82388748139089,0.76019536980149,95.11389902738146,-0.07068074917933753,122.64673289129188,0
Healthy,0.1764106199529834,26.728067817750517,0.6459643633674489,72.45429989148695,-8.224476475851155,102.31635789238227,1
Healthy,0.25647445070046604,24.430402206762015,0.5641496433087988,100.0,1.8940158006069834,126.99086659290225,0
Healthy,0.25780854318504454,31.21881256208402,0.5172918863843121,91.20928135600116,-3.08779531535343,150.0,0
Healthy,0.05646122623859601,25.282324248344924,0.7524121917401805,69.0665882217532,6.138366225636565,140.82988717194473,0
Healthy,0.15718257926186444,24.86746087651423,0.34819018971435467,83.03240709332714,1.1384271585534809,111.2891724272051,0
Healthy,0.21992377285786058,30.2652145198779,1.087959279595333,86.17025521016753,-1.6260566930769444,127.87256460796202,0
Healthy,0.20112623834793775,31.669577527895704,1.2365158575850974,76.33720856065734,-4.136423802551532,107.59854314335416,1
Healthy,0.1049361132538399,30.885499780943665,1.1481716518321474,100.0,6.025947269643673,127.3635432225047,0
Healthy,0.3079756802309753,30.841084740129048,0.9718412329273767,100.0,4.90072353261116,122.40200037660945,0
Healthy,0.12459590671001154,30.807460003976278,1.4050470045332355,87.99933496856632,8.231582691347313,95.1509718271853,1
Healthy,0.1950091962672877,28.85975204875584,0.7841475499575165,100.0,4.175229469244955,120.69197473492444,0
Healthy,0.20233659020901545,23.000905145258574,0.7709881568024685,90.5787261138037,0.7936657139253449,107.15994971934347,1
Healthy,0.317857307286296,33.49219243200067,1.1020613533695092,89.22758929756672,2.1894264552427125,114.1084004304629,0
Healthy,0.11047041928742198,25.50863221222439,0.8548719892850978,73.4905152438412,-4.995958644911651,115.42817743839755,0
Healthy,0.22111360228040935,34.18683268440659,0.7899973684674051,99.2725848120649,5.603560494546995,127.03752178741043,0
Healthy,0.2669900229874709,31.593647652502028,1.0680778182149002,88.73432057195039,1.6579980344159067,105.70170357436545,1
Healthy,0.12746739992440775,26.843847027992567,0.6954481413051864,90.9033847995403,8.134917651892877,110.31076082794632,0
Healthy,0.22550972921701734,25.99970549827894,0.8970439705705936,77.41107205295978,4.13691124078094,106.16884428688668,1
Healthy,0.2910494372335982,28.627035427947796,0.7641466403664315,76.12406377384313,2.587705694042575,127.90134855014725,0
Healthy,0.2245989130883187,35.81489065159655,1.417866724851382,92.3762356408081,2.2530385416686958,130.37637762058426,0
Healthy,0.12457827376168835,32.197178014644216,1.1424199333603153,94.32853866228565,6.5072393105575435,144.76946781188627,0
Healthy,0.21538598169687548,28.72242281417335,1.4456921952331796,95.05843512358815,2.5630928532956894,119.16302484328786,0
Healthy,0.21758428243449188,30.155775963552916,0.5851071176227445,76.26770468284477,-1.957435526068443,108.26128386669797,1
Healthy,0.1420558387424748,30.67235528123991,0.9753961256684649,92.42826281549543,-1.365822102309595,117.68753242380872,0
Healthy,0.2528531895570356,30.996270132758546,0.7588439162429615,93.61718246844269,12.0,125.23957441866924,0
Healthy,0.13761317484717994,28.22916553130224,1.055727203576819,85.13051191903354,2.5302426275780174,100.59047616155395,1
Healthy,0.1133632572422644,28.205447317754565,0.9894061432342499,81.27870278008513,1.4853899893044678,117.73878382133961,0
Healthy,0.28004721108720726,29.022553638670676,1.0837097166002327,82.19702349679856,4.592025714009756,121.91205205382975,0
Healthy,0.2779235302861838,31.4520755084782,1.1415550982355611,89.74095613411387,4.188671644271538,134.58742405833962,0
Healthy,0.14131328875374852,26.880029818924395,1.0808384394459218,88.78064645191908,-0.20274842282572791,116.90223325812246,0
Healthy,0.19154011031940937,22.320320094467224,0.9379287535786379,77.38562603587627,1.085103353013076,127.69872721745395,0
Healthy,0.09057815313420124,26.088444898922965,0.3,82.61465619675074,0.7711845271060853,114.27500396188236,0
Disease_Vehicle,0.1796909605535384,18.480616409225043,2.478496085031099,32.574252012360944,-7.826331086089231,38.79697605938096,1
